"POOL_ID","LRU_POSITION","SPACE","PAGE_NUMBER","PAGE_TYPE","FLUSH_TYPE","FIX_COUNT","IS_HASHED","NEWEST_MODIFICATION","OLDEST_MODIFICATION","ACCESS_TIME","TABLE_NAME","INDEX_NAME","NUMBER_RECORDS","DATA_SIZE","COMPRESSED_SIZE","COMPRESSED","IO_FIX","IS_OLD","FREE_PAGE_CLOCK"
"0","54","10","1924","INDEX","0","0","0","168771568","0","91900","`employees`.`salaries`","PRIMARY","468","14976","0","0","IO_NONE","NULL","133"
"0","55","10","1925","INDEX","0","0","0","168779312","0","91902","`employees`.`salaries`","PRIMARY","468","14976","0","0","IO_NONE","NULL","133"
"0","56","0","3881","UNDO_LOG","0","0","0","155049524","0","91902","NULL","NULL","0","0","0","0","IO_NONE","NULL","133"
"0","57","10","1926","INDEX","0","0","0","168787040","0","91903","`employees`.`salaries`","PRIMARY","468","14976","0","0","IO_NONE","NULL","133"
"0","58","10","1927","INDEX","0","0","0","168794768","0","91905","`employees`.`salaries`","PRIMARY","468","14976","0","0","IO_NONE","NULL","133"
"0","59","0","3882","UNDO_LOG","0","0","0","155101240","0","91905","NULL","NULL","0","0","0","0","IO_NONE","NULL","133"
"0","60","10","1928","INDEX","0","0","0","168802496","0","91906","`employees`.`salaries`","PRIMARY","468","14976","0","0","IO_NONE","NULL","133"
"0","61","5","308","INDEX","0","0","0","15549506","0","79070","`employees`.`employees`","PRIMARY","338","15038","0","0","IO_NONE","NULL","133"
"0","62","0","3883","UNDO_LOG","0","0","0","155153011","0","91908","NULL","NULL","0","0","0","0","IO_NONE","NULL","133"
"0","63","10","1929","INDEX","0","0","0","168810224","0","91908","`employees`.`salaries`","PRIMARY","468","14976","0","0","IO_NONE","NULL","133"
"0","64","10","1930","INDEX","0","0","0","168817952","0","91910","`employees`.`salaries`","PRIMARY","468","14976","0","0","IO_NONE","NULL","133"
"0","65","0","3884","UNDO_LOG","0","0","0","155204782","0","91911","NULL","NULL","0","0","0","0","IO_NONE","NULL","133"
"0","66","10","1931","INDEX","0","0","0","168825680","0","91911","`employees`.`salaries`","PRIMARY","468","14976","0","0","IO_NONE","NULL","133"
"0","67","10","1932","INDEX","0","0","0","168833408","0","91913","`employees`.`salaries`","PRIMARY","468","14976","0","0","IO_NONE","NULL","133"
"0","68","0","3885","UNDO_LOG","0","0","0","155256566","0","91914","NULL","NULL","0","0","0","0","IO_NONE","NULL","133"
"0","69","10","1933","INDEX","0","0","0","168841136","0","91914","`employees`.`salaries`","PRIMARY","468","14976","0","0","IO_NONE","NULL","133"
"0","70","10","1934","INDEX","0","0","0","168848864","0","91916","`employees`.`salaries`","PRIMARY","468","14976","0","0","IO_NONE","NULL","133"
"0","71","5","309","INDEX","0","0","0","15555106","0","79070","`employees`.`employees`","PRIMARY","339","15032","0","0","IO_NONE","NULL","133"
"0","72","0","3886","UNDO_LOG","0","0","0","155308326","0","91917","NULL","NULL","0","0","0","0","IO_NONE","NULL","133"
"0","73","10","1935","INDEX","0","0","0","168856608","0","91918","`employees`.`salaries`","PRIMARY","468","14976","0","0","IO_NONE","NULL","133"
"0","74","10","1936","INDEX","0","0","0","168864336","0","91919","`employees`.`salaries`","PRIMARY","468","14976","0","0","IO_NONE","NULL","133"
"0","75","0","3887","UNDO_LOG","0","0","0","155360099","0","91920","NULL","NULL","0","0","0","0","IO_NONE","NULL","133"
"0","76","10","1937","INDEX","0","0","0","168872064","0","91921","`employees`.`salaries`","PRIMARY","468","14976","0","0","IO_NONE","NULL","133"
"0","77","10","1938","INDEX","0","0","0","168879792","0","91923","`employees`.`salaries`","PRIMARY","468","14976","0","0","IO_NONE","NULL","133"
"0","78","0","3888","UNDO_LOG","0","0","0","155387849","0","91924","NULL","NULL","0","0","0","0","IO_NONE","NULL","133"
"0","79","10","1939","INDEX","0","0","0","168887520","0","91924","`employees`.`salaries`","PRIMARY","468","14976","0","0","IO_NONE","NULL","133"
"0","80","0","3889","UNDO_LOG","0","0","0","156796885","0","92391","NULL","NULL","0","0","0","0","IO_NONE","NULL","1292"
"0","81","10","1940","INDEX","0","0","0","168895248","0","92391","`employees`.`salaries`","PRIMARY","468","14976","0","0","IO_NONE","NULL","1292"
"0","82","10","1941","INDEX","0","0","0","168902976","0","92393","`employees`.`salaries`","PRIMARY","468","14976","0","0","IO_NONE","NULL","1292"
"0","83","0","564","UNDO_LOG","0","0","0","257827345","1","0","NULL","NULL","0","0","0","0","IO_NONE","NULL","0"
"0","84","0","206","SYSTEM","0","0","0","259492264","0","101721","NULL","NULL","0","0","0","0","IO_NONE","NULL","0"
"0","85","0","3890","UNDO_LOG","0","0","0","155495443","0","92395","NULL","NULL","0","0","0","0","IO_NONE","NULL","1292"
"0","86","10","1942","INDEX","0","0","0","168910704","0","92395","`employees`.`salaries`","PRIMARY","468","14976","0","0","IO_NONE","NULL","1292"
"0","87","10","1943","INDEX","0","0","0","168918432","0","92397","`employees`.`salaries`","PRIMARY","468","14976","0","0","IO_NONE","NULL","1292"
"0","88","0","3891","UNDO_LOG","0","0","0","155549247","0","92398","NULL","NULL","0","0","0","0","IO_NONE","NULL","1292"
"0","89","10","1944","INDEX","0","0","0","168926160","0","92398","`employees`.`salaries`","PRIMARY","468","14976","0","0","IO_NONE","NULL","1292"
"0","90","10","1945","INDEX","0","0","0","168933904","0","92400","`employees`.`salaries`","PRIMARY","468","14976","0","0","IO_NONE","NULL","1292"
"0","91","0","3892","UNDO_LOG","0","0","0","155603037","0","92402","NULL","NULL","0","0","0","0","IO_NONE","NULL","1292"
"0","92","10","1946","INDEX","0","0","0","168941632","0","92402","`employees`.`salaries`","PRIMARY","468","14976","0","0","IO_NONE","NULL","1292"
"0","93","10","1947","INDEX","0","0","0","168949360","0","92404","`employees`.`salaries`","PRIMARY","468","14976","0","0","IO_NONE","NULL","1292"
"0","94","0","3893","UNDO_LOG","0","0","0","155656844","0","92405","NULL","NULL","0","0","0","0","IO_NONE","NULL","1292"
"0","95","10","1948","INDEX","0","0","0","168957088","0","92405","`employees`.`salaries`","PRIMARY","468","14976","0","0","IO_NONE","NULL","1292"
"0","96","10","1949","INDEX","0","0","0","168964816","0","92407","`employees`.`salaries`","PRIMARY","468","14976","0","0","IO_NONE","NULL","1292"
"0","97","0","3894","UNDO_LOG","0","0","0","155710639","0","92409","NULL","NULL","0","0","0","0","IO_NONE","NULL","1292"
