"POOL_ID","BLOCK_ID","SPACE","PAGE_NUMBER","PAGE_TYPE","FLUSH_TYPE","FIX_COUNT","IS_HASHED","NEWEST_MODIFICATION","OLDEST_MODIFICATION","ACCESS_TIME","TABLE_NAME","INDEX_NAME","NUMBER_RECORDS","DATA_SIZE","COMPRESSED_SIZE","PAGE_STATE","IO_FIX","IS_OLD","FREE_PAGE_CLOCK"
"0","3216","10","4073","INDEX","0","0","0","236615256","0","174566","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3094"
"0","3217","0","4957","UNDO_LOG","0","3","0","302924070","302924046","174567","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","3095"
"0","3218","10","4074","INDEX","0","0","0","236634955","0","174568","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3096"
"0","3219","10","4075","INDEX","0","0","0","236653657","0","174570","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3097"
"0","3220","10","5804","INDEX","0","0","0","298316784","0","182174","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","6022"
"0","3221","0","4958","UNDO_LOG","0","3","0","302924046","302924022","174573","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","3099"
"0","3222","10","4076","INDEX","0","0","0","236669169","0","174573","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3100"
"0","3223","10","4077","INDEX","0","0","0","236689774","0","174575","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3101"
"0","3224","0","4959","UNDO_LOG","0","3","0","302924022","302923998","174577","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","3102"
"0","3225","10","4078","INDEX","0","0","0","236708998","0","174577","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3103"
"0","3226","10","4079","INDEX","0","0","0","236722436","0","174580","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3104"
"0","3227","0","4960","UNDO_LOG","0","3","0","302923998","302923974","174581","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","3105"
"0","3228","10","4080","INDEX","0","0","0","236739793","0","174581","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3106"
"0","3229","10","4081","INDEX","0","0","0","236759663","0","174583","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3107"
"0","3230","0","4961","UNDO_LOG","0","3","0","302923974","302923950","174585","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","3108"
"0","3231","10","4082","INDEX","0","0","0","236779648","0","174585","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3109"
"0","3232","10","5811","INDEX","0","0","0","298455850","0","182193","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","6034"
"0","3233","10","4083","INDEX","0","0","0","236798515","0","174588","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3111"
"0","3234","0","4962","UNDO_LOG","0","3","0","302923950","302923926","174590","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","3112"
"0","3235","10","4084","INDEX","0","0","0","236818243","0","174590","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3113"
"0","3236","10","4085","INDEX","0","0","0","236838265","0","174594","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3114"
"0","3237","10","4086","INDEX","0","0","0","236858422","0","174596","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3115"
"0","3238","0","4963","UNDO_LOG","0","3","0","302923926","302923902","174596","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","3116"
"0","3239","10","4087","INDEX","0","0","0","236871190","0","174598","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3117"
"0","3240","10","4088","INDEX","0","0","0","236890320","0","174600","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3118"
"0","3241","0","4964","UNDO_LOG","0","3","0","302923902","302923878","174600","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","3119"
"0","3242","10","4089","INDEX","0","0","0","236909365","0","174602","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3120"
"0","3243","10","5818","INDEX","0","0","0","298589139","0","182210","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","6045"
"0","3244","10","4090","INDEX","0","0","0","236928337","0","174605","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3122"
"0","3245","0","4965","UNDO_LOG","0","3","0","302923878","302923854","174605","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","3123"
"0","3246","10","4091","INDEX","0","0","0","236947492","0","174607","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3124"
"0","3247","10","4092","INDEX","0","0","0","236965598","0","174609","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3125"
"0","3248","10","4093","INDEX","0","0","0","236985842","0","174612","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3127"
"0","3249","10","4094","INDEX","0","0","0","237005957","0","174615","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3128"
"0","3250","0","4967","UNDO_LOG","0","3","0","302923830","302923806","174615","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","3129"
"0","3251","10","4095","INDEX","0","0","0","237025806","0","174617","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3130"
"0","3252","0","5841","UNDO_LOG","0","3","0","302966747","302966723","182222","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","6055"
"0","3253","10","4096","INDEX","0","0","0","237045564","0","174620","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3132"
"0","3254","0","4968","UNDO_LOG","0","3","0","302923806","302923766","174621","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","3133"
"0","3255","10","4097","INDEX","0","0","0","237065532","0","174622","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3134"
"0","3256","10","4098","INDEX","0","0","0","237085483","0","174625","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3135"
"0","3257","0","4969","UNDO_LOG","0","3","0","302923766","302923742","174625","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","3136"
"0","3258","10","4099","INDEX","0","0","0","237104855","0","174627","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3137"
"0","3259","10","4100","INDEX","0","0","0","237124622","0","174629","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3138"
"0","3260","0","4970","UNDO_LOG","0","3","0","302923742","302923718","174630","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","3139"
"0","3261","10","4101","INDEX","0","0","0","237144438","0","174631","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3140"
"0","3262","10","4102","INDEX","0","0","0","237160512","0","174633","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3141"
"0","3263","0","4971","UNDO_LOG","0","3","0","302923718","302923694","174634","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","3142"
"0","3264","10","5830","INDEX","0","0","0","298827147","0","182314","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","6067"
"0","3265","10","4103","INDEX","0","0","0","237177474","0","174636","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3144"
"0","3266","10","4104","INDEX","0","0","0","237197569","0","174638","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3145"
"0","3267","0","4972","UNDO_LOG","0","3","0","302923694","302923670","174639","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","3146"
"0","3268","10","4106","INDEX","0","0","0","237238345","0","174642","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3148"
"0","3269","0","4973","UNDO_LOG","0","3","0","302923670","302923646","174643","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","3149"
"0","3270","10","4107","INDEX","0","0","0","237252520","0","174644","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3150"
"0","3271","10","4108","INDEX","0","0","0","237272221","0","174646","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3151"
"0","3272","0","4974","UNDO_LOG","0","3","0","302923646","302923622","174647","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","3152"
"0","3273","10","4109","INDEX","0","0","0","237288890","0","174649","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3153"
"0","3274","10","5837","INDEX","0","0","0","298963648","0","182329","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","6078"
"0","3275","10","4110","INDEX","0","0","0","237302548","0","174651","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3155"
"0","3276","0","4975","UNDO_LOG","0","3","0","302923622","302923598","174652","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","3156"
"0","3277","10","4111","INDEX","0","0","0","237324021","0","174654","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3157"
"0","3278","10","4112","INDEX","0","0","0","237333068","0","174656","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","3158"
"0","3279","0","4976","UNDO_LOG","0","3","0","302923598","302923574","174656","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","3159"
